PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
NL01;COALITION;21.09;FINAL;2024-07-16 12:32
NL02;PARTY;11.35;FINAL;2024-07-16 12:32
NL03;PARTY;9.45;FINAL;2024-07-16 12:32
NL04;PARTY;2.49;FINAL;2024-07-16 12:32
NL05;PARTY;8.4;FINAL;2024-07-16 12:32
NL06;PARTY;2.89;FINAL;2024-07-16 12:32
NL07;PARTY;3.66;FINAL;2024-07-16 12:32
NL08;PARTY;4.52;FINAL;2024-07-16 12:32
NL09;PARTY;16.97;FINAL;2024-07-16 12:32
NL10;PARTY;2.2;FINAL;2024-07-16 12:32
NL11;PARTY;5.13;FINAL;2024-07-16 12:32
NL12;PARTY;0.65;FINAL;2024-07-16 12:32
NL13;PARTY;3.75;FINAL;2024-07-16 12:32
NL14;PARTY;5.41;FINAL;2024-07-16 12:32
NL90;PARTY;2.04;FINAL;2024-07-16 12:32
